DATE,II,III
2018-01-01,540831,89779
2018-02-01,502422,82242
2018-03-01,554536,76740
2018-04-01,551122,74900
2018-05-01,563532,80395
2018-06-01,577763,86173
2018-07-01,550050,155439
2018-08-01,560061,126189
2018-09-01,537557,82841
2018-10-01,568674,85807
2018-11-01,598232,89132
2018-12-01,622408,113545
2019-01-01,696599,93300
2019-02-01,696824,84542
2019-03-01,817349,88205
2019-04-01,730302,84562
2019-05-01,594093,97508
2019-06-01,608514,117539
2019-07-01,575259,100324
2019-08-01,591584,94520
2019-09-01,582331,92902
2019-10-01,400251,37697
2019-11-01,321065,62474
2019-12-01,324799,79638
2020-01-01,267244,53275
2020-02-01,321954,44375
2020-03-01,272194,52619
2020-04-01,60394,11554
2020-05-01,75209,15812
2020-06-01,157154,26561
2020-07-01,269565,45367
2020-08-01,312540,46952
2020-09-01,335565,61045
2020-10-01,369983,59726
2020-11-01,407859,68897
2020-12-01,390424,74478
2021-01-01,416810,73277
2021-02-01,355854,58254
2021-03-01,450586,71424
2021-04-01,410559,64803
2021-05-01,419636,67871
2021-06-01,444662,68857
2021-07-01,469409,71458
2021-08-01,499661,72007
2021-09-01,496553,75174
2021-10-01,492475,78774
2021-11-01,503432,83984
2021-12-01,471680,70866
2022-01-01,538967,80432
2022-02-01,472998,82762
